2024-01-03 17:59:43,416 INFO [http-nio-8080-exec-10] readLogger [ProductController.java:52] UserID: 6595706452f4d900d2ac7704, Operation: Read, Method: getProducts
2024-01-03 17:59:46,769 INFO [http-nio-8080-exec-2] readLogger [ProductController.java:66] UserID: 6595706452f4d900d2ac7704, Operation: Read, Method: getProductById, Product: Ordinateur, Price: 180.99
2024-01-03 17:59:47,418 INFO [http-nio-8080-exec-1] readLogger [ProductController.java:66] UserID: 6595706452f4d900d2ac7704, Operation: Read, Method: getProductById, Product: Ordinateur, Price: 180.99
2024-01-03 18:00:41,616 INFO [http-nio-8080-exec-5] readLogger [ProductController.java:52] UserID: 65956dbbbe5d4add9cd0eedd, Operation: Read, Method: getProducts
2024-01-03 18:00:42,315 INFO [http-nio-8080-exec-7] readLogger [ProductController.java:52] UserID: 65956dbbbe5d4add9cd0eedd, Operation: Read, Method: getProducts
2024-01-03 18:00:42,969 INFO [http-nio-8080-exec-8] readLogger [ProductController.java:52] UserID: 65956dbbbe5d4add9cd0eedd, Operation: Read, Method: getProducts
2024-01-03 18:01:06,339 INFO [http-nio-8080-exec-1] readLogger [ProductController.java:66] UserID: 65956dbbbe5d4add9cd0eedd, Operation: Read, Method: getProductById, Product: Trotinette, Price: 200.99
2024-01-03 18:01:10,158 INFO [http-nio-8080-exec-3] readLogger [ProductController.java:52] UserID: 65956dbbbe5d4add9cd0eedd, Operation: Read, Method: getProducts
2024-01-03 18:02:11,812 INFO [http-nio-8080-exec-6] readLogger [ProductController.java:52] UserID: 65956dbbbe5d4add9cd0eedd, Operation: Read, Method: getProducts
2024-01-03 18:02:12,567 INFO [http-nio-8080-exec-5] readLogger [ProductController.java:52] UserID: 65956dbbbe5d4add9cd0eedd, Operation: Read, Method: getProducts
2024-01-03 18:02:13,317 INFO [http-nio-8080-exec-7] readLogger [ProductController.java:52] UserID: 65956dbbbe5d4add9cd0eedd, Operation: Read, Method: getProducts
2024-01-03 18:02:14,010 INFO [http-nio-8080-exec-8] readLogger [ProductController.java:52] UserID: 65956dbbbe5d4add9cd0eedd, Operation: Read, Method: getProducts
2024-01-03 18:02:17,385 INFO [http-nio-8080-exec-9] readLogger [ProductController.java:66] UserID: 65956dbbbe5d4add9cd0eedd, Operation: Read, Method: getProductById, Product: Ordinateur, Price: 380.99
2024-01-03 18:02:57,873 INFO [http-nio-8080-exec-1] readLogger [ProductController.java:52] UserID: 65956dbbbe5d4add9cd0eedd, Operation: Read, Method: getProducts
2024-01-03 18:02:58,621 INFO [http-nio-8080-exec-3] readLogger [ProductController.java:52] UserID: 65956dbbbe5d4add9cd0eedd, Operation: Read, Method: getProducts
2024-01-03 18:02:59,309 INFO [http-nio-8080-exec-4] readLogger [ProductController.java:52] UserID: 65956dbbbe5d4add9cd0eedd, Operation: Read, Method: getProducts
2024-01-03 22:00:43,265 INFO [http-nio-8080-exec-3] readLogger [ProductController.java:55] UserID: 65956dbbbe5d4add9cd0eedd, Operation: Read, Method: getProducts
2024-01-03 22:00:45,308 INFO [http-nio-8080-exec-4] readLogger [ProductController.java:55] UserID: 65956dbbbe5d4add9cd0eedd, Operation: Read, Method: getProducts
